Sección,Subsección,Tipo,Propiedad EPM,Propiedad Compartido,Propiedad Cliente,Periodo Consumo
Tarifa No Residencial,ESPD\*,Valor único,871.81,835.52,799.22,2023-08
Tarifa No Residencial,Industrial y Comercial,Valor único,951.06,911.47,871.88,2023-08
Tarifa No Residencial,Oficial y Exentos de Contribución,Valor único,792.55,759.56,726.56,2023-08
Tarifa Residencial,Estrato 1,Rango 0 - CS,328.18,314.52,300.86,2023-08
Tarifa Residencial,Estrato 1,Rango > CS,792.55,759.56,726.56,2023-08
Tarifa Residencial,Estrato 2,Rango 0 - CS,410.23,393.15,376.07,2023-08
Tarifa Residencial,Estrato 2,Rango > CS,792.55,759.56,726.56,2023-08
Tarifa Residencial,Estrato 3,Rango 0 - CS,673.67,645.63,617.58,2023-08
Tarifa Residencial,Estrato 3,Rango > CS,792.55,759.56,726.56,2023-08
Tarifa Residencial,Estrato 4,Todo el consumo,792.55,759.56,726.56,2023-08
Tarifa Residencial,Estrato 5 y 6,Todo el consumo,951.06,911.47,871.88,2023-08
Tarifa Áreas Comunes,Con contribución,Valor único,951.06,911.47,871.88,2023-08
Tarifa Áreas Comunes,Sin contribución,Valor único,792.55,759.56,726.56,2023-08
