Categori­a;Propiedad EPM;Propiedad Compartido;Propiedad Cliente;Periodo
Estrato 1 - Rango 0 - CS;153.5;147.57;141.64;201401
Estrato 1 - Rango > CS;379.07;364.42;349.77;201401
Estrato 2 - Rango 0 - CS;191.87;184.46;177.05;201401
Estrato 2 - Rango > CS;379.07;364.42;349.77;201401
Estrato 3 - Rango 0 - CS;322.21;309.76;297.3;201401
Estrato 3 - Rango > CS;379.07;364.42;349.77;201401
Estrato 4 - Todo el consumo;379.07;364.42;349.77;201401
Estrato 5 y 6 - Todo el consumo;454.88;437.3;419.72;201401
Industrial y Comercial;454.88;437.3;419.72;201401
ESPD*;416.97;400.86;384.75;201401
Oficial y Exentos de Contribucion;379.07;364.42;349.77;201401
Industrial y Comercial - Punta;458.36;440.78;423.20;201401
Industrial y Comercial - Fuera de Punta;453.71;436.13;418.55;201401
Oficial y Exentos - Punta;381.97;367.32;352.67;201401
Oficial y Exentos - Fuera de Punta;378.09;363.44;348.79;201401
Estrato 1 - Rango 0 - CS;154.25;148.29;142.34;201402
Estrato 1 - Rango > CS;375.57;360.82;346.08;201402
Estrato 2 - Rango 0 - CS;192.81;185.37;177.92;201402
Estrato 2 - Rango > CS;375.57;360.82;346.08;201402
Estrato 3 - Rango 0 - CS;319.24;306.7;294.17;201402
Estrato 3 - Rango > CS;375.57;360.82;346.08;201402
Estrato 4 - Todo el consumo;375.57;360.82;346.08;201402
Estrato 5 y 6 - Todo el consumo;450.69;432.99;415.29;201402
Industrial y Comercial;450.69;432.99;415.29;201402
ESPD*;413.13;396.91;380.68;201402
Oficial y Exentos de Contribucion;375.57;360.82;346.08;201402
Industrial y Comercial - Punta;453.45;435.75;418.06;201402
Industrial y Comercial - Fuera de Punta;449.81;432.11;414.41;201402
Oficial y Exentos - Punta;377.88;363.13;348.38;201402
Oficial y Exentos - Fuera de Punta;374.84;360.09;345.34;201402
Estrato 1 - Rango 0 - CS;155.22;149.23;143.23;201403
Estrato 1 - Rango > CS;387.38;372.45;357.53;201403
Estrato 2 - Rango 0 - CS;194.03;186.53;179.04;201403
Estrato 2 - Rango > CS;387.38;372.45;357.53;201403
Estrato 3 - Rango 0 - CS;329.27;316.59;303.9;201403
Estrato 3 - Rango > CS;387.38;372.45;357.53;201403
Estrato 4 - Todo el consumo;387.38;372.45;357.53;201403
Estrato 5 y 6 - Todo el consumo;464.86;446.94;429.03;201403
Industrial y Comercial;464.86;446.94;429.03;201403
ESPD*;426.12;409.7;393.28;201403
Oficial y Exentos de Contribucion;387.38;372.45;357.53;201403
Industrial y Comercial - Punta;468.66;450.75;432.84;201403
Industrial y Comercial - Fuera de Punta;463.62;445.71;427.80;201403
Oficial y Exentos - Punta;390.55;375.63;360.70;201403
Oficial y Exentos - Fuera de Punta;386.35;371.42;356.50;201403
Estrato 1 - Rango 0 - CS;155.83;149.81;143.79;201404
Estrato 1 - Rango > CS;382.95;367.77;352.59;201404
Estrato 2 - Rango 0 - CS;194.78;187.26;179.74;201404
Estrato 2 - Rango > CS;382.95;367.77;352.59;201404
Estrato 3 - Rango 0 - CS;325.51;312.6;299.7;201404
Estrato 3 - Rango > CS;382.95;367.77;352.59;201404
Estrato 4 - Todo el consumo;382.95;367.77;352.59;201404
Estrato 5 y 6 - Todo el consumo;459.54;441.32;423.1;201404
Industrial y Comercial;459.54;441.32;423.1;201404
ESPD*;421.24;404.54;387.84;201404
Oficial y Exentos de Contribucion;382.95;367.77;352.59;201404
Industrial y Comercial - Punta;468.65;450.44;432.22;201404
Industrial y Comercial - Fuera de Punta;455.88;437.67;419.45;201404
Oficial y Exentos - Punta;390.55;375.36;360.18;201404
Oficial y Exentos - Fuera de Punta;379.90;364.72;349.54;201404
Estrato 1 - Rango 0 - CS;156.54;150.5;144.45;201405
Estrato 1 - Rango > CS;390.61;375.12;359.64;201405
Estrato 2 - Rango 0 - CS;195.68;188.12;180.56;201405
Estrato 2 - Rango > CS;390.61;375.12;359.64;201405
Estrato 3 - Rango 0 - CS;332.02;318.85;305.69;201405
Estrato 3 - Rango > CS;390.61;375.12;359.64;201405
Estrato 4 - Todo el consumo;390.61;375.12;359.64;201405
Estrato 5 y 6 - Todo el consumo;468.73;450.15;431.56;201405
Industrial y Comercial;468.73;450.15;431.56;201405
ESPD*;429.67;412.63;395.6;201405
Oficial y Exentos de Contribucion;390.61;375.12;359.64;201405
Industrial y Comercial - Punta;478.03;459.45;440.86;201405
Industrial y Comercial - Fuera de Punta;465.00;446.42;427.84;201405
Oficial y Exentos - Punta;398.36;382.87;367.39;201405
Oficial y Exentos - Fuera de Punta;387.50;372.02;356.53;201405
Estrato 1 - Rango 0 - CS;159.37;153.05;146.73;201406
Estrato 1 - Rango > CS;398.42;382.62;366.83;201406
Estrato 2 - Rango 0 - CS;199.21;191.31;183.41;201406
Estrato 2 - Rango > CS;398.42;382.62;366.83;201406
Estrato 3 - Rango 0 - CS;338.66;325.23;311.81;201406
Estrato 3 - Rango > CS;398.42;382.62;366.83;201406
Estrato 4 - Todo el consumo;398.42;382.62;366.83;201406
Estrato 5 y 6 - Todo el consumo;478.1;459.15;440.2;201406
Industrial y Comercial;478.1;459.15;440.2;201406
ESPD*;438.26;420.89;403.51;201406
Oficial y Exentos de Contribucion;398.42;382.62;366.83;201406
Industrial y Comercial - Punta;487.59;468.63;449.68;201406
Industrial y Comercial - Fuera de Punta;474.30;455.35;436.39;201406
Oficial y Exentos - Punta;406.32;390.53;374.73;201406
Oficial y Exentos - Fuera de Punta;395.25;379.46;363.66;201406
Estrato 1 - Rango 0 - CS;162.56;156.11;149.67;201407
Estrato 1 - Rango > CS;406.39;390.28;374.17;201407
Estrato 2 - Rango 0 - CS;203.19;195.14;187.08;201407
Estrato 2 - Rango > CS;406.39;390.28;374.17;201407
Estrato 3 - Rango 0 - CS;345.43;331.74;318.04;201407
Estrato 3 - Rango > CS;406.39;390.28;374.17;201407
Estrato 4 - Todo el consumo;406.39;390.28;374.17;201407
Estrato 5 y 6 - Todo el consumo;487.67;468.33;449;201407
Industrial y Comercial;487.67;468.33;449;201407
ESPD*;447.03;429.31;411.58;201407
Oficial y Exentos de Contribucion;406.39;390.28;374.17;201407
Industrial y Comercial - Punta;497.34;478.01;458.67;201407
Industrial y Comercial - Fuera de Punta;483.79;464.45;445.12;201407
Oficial y Exentos - Punta;414.45;398.34;382.23;201407
Oficial y Exentos - Fuera de Punta;403.16;387.05;370.93;201407
Estrato 1 - Rango 0 - CS;165.81;159.23;152.66;201408
Estrato 1 - Rango > CS;414.52;398.08;381.65;201408
Estrato 2 - Rango 0 - CS;207.26;199.04;190.82;201408
Estrato 2 - Rango > CS;414.52;398.08;381.65;201408
Estrato 3 - Rango 0 - CS;352.34;338.37;324.4;201408
Estrato 3 - Rango > CS;414.52;398.08;381.65;201408
Estrato 4 - Todo el consumo;414.52;398.08;381.65;201408
Estrato 5 y 6 - Todo el consumo;497.42;477.7;457.98;201408
Industrial y Comercial;497.42;477.7;457.98;201408
ESPD*;455.97;437.89;419.81;201408
Oficial y Exentos de Contribucion;414.52;398.08;381.65;201408
Industrial y Comercial - Punta;483.27;462.18;455.60;201408
Industrial y Comercial - Fuera de Punta;493.46;473.74;454.02;201408
Oficial y Exentos - Punta;402.72;385.15;379.67;201408
Oficial y Exentos - Fuera de Punta;411.22;394.79;378.35;201408
Estrato 1 - Rango 0 - CS;166.15;159.56;153.58;201409
Estrato 1 - Rango > CS;407.59;396.01;383.94;201409
Estrato 2 - Rango 0 - CS;207.68;199.45;191.97;201409
Estrato 2 - Rango > CS;407.59;396.01;383.94;201409
Estrato 3 - Rango 0 - CS;346.45;336.61;326.35;201409
Estrato 3 - Rango > CS;407.59;396.01;383.94;201409
Estrato 4 - Todo el consumo;407.59;396.01;383.94;201409
Estrato 5 y 6 - Todo el consumo;489.11;475.22;460.73;201409
Industrial y Comercial;489.11;475.22;460.73;201409
ESPD*;448.35;435.61;422.33;201409
Oficial y Exentos de Contribucion;407.59;396.01;383.94;201409
Industrial y Comercial - Punta;470.01;451.71;433.41;201409
Industrial y Comercial - Fuera de Punta;502.84;479.71;463.10;201409
Oficial y Exentos - Punta;391.67;376.43;361.18;201409
Oficial y Exentos - Fuera de Punta;419.03;399.76;385.92;201409
Estrato 1 - Rango 0 - CS;166.37;159.78;153.79;201410
Estrato 1 - Rango > CS;395.56;380.23;364.9;201410
Estrato 2 - Rango 0 - CS;207.97;199.72;192.23;201410
Estrato 2 - Rango > CS;395.56;380.23;364.9;201410
Estrato 3 - Rango 0 - CS;336.22;323.19;310.17;201410
Estrato 3 - Rango > CS;395.56;380.23;364.9;201410
Estrato 4 - Todo el consumo;395.56;380.23;364.9;201410
Estrato 5 y 6 - Todo el consumo;474.67;456.27;437.88;201410
Industrial y Comercial;474.67;456.27;437.88;201410
ESPD*;435.11;418.25;401.39;201410
Oficial y Exentos de Contribucion;395.56;380.23;364.9;201410
Industrial y Comercial - Punta;478.58;460.19;441.80;201410
Industrial y Comercial - Fuera de Punta;473.30;454.91;453.38;201410
Oficial y Exentos - Punta;398.82;383.49;368.17;201410
Oficial y Exentos - Fuera de Punta;394.42;379.09;377.82;201410
Estrato 1 - Rango 0 - CS;166.64;160.04;154.03;201411
Estrato 1 - Rango > CS;392.87;377.48;362.08;201411
Estrato 2 - Rango 0 - CS;208.3;200.04;192.54;201411
Estrato 2 - Rango > CS;392.87;377.48;362.08;201411
Estrato 3 - Rango 0 - CS;333.94;320.86;307.77;201411
Estrato 3 - Rango > CS;392.87;377.48;362.08;201411
Estrato 4 - Todo el consumo;392.87;377.48;362.08;201411
Estrato 5 y 6 - Todo el consumo;471.45;452.97;434.5;201411
Industrial y Comercial;471.45;452.97;434.5;201411
ESPD*;432.16;415.23;398.29;201411
Oficial y Exentos de Contribucion;392.87;377.48;362.08;201411
Industrial y Comercial - Punta;474.95;456.48;438.00;201411
Industrial y Comercial - Fuera de Punta;470.58;452.10;433.63;201411
Oficial y Exentos - Punta;395.79;380.40;365.00;201411
Oficial y Exentos - Fuera de Punta;392.15;376.75;361.36;201411
Estrato 1 - Rango 0 - CS;166.87;160.25;154.24;201412
Estrato 1 - Rango > CS;384.96;369.58;354.2;201412
Estrato 2 - Rango 0 - CS;208.59;200.32;192.8;201412
Estrato 2 - Rango > CS;384.96;369.58;354.2;201412
Estrato 3 - Rango 0 - CS;327.22;314.14;301.07;201412
Estrato 3 - Rango > CS;384.96;369.58;354.2;201412
Estrato 4 - Todo el consumo;384.96;369.58;354.2;201412
Estrato 5 y 6 - Todo el consumo;461.95;443.49;425.04;201412
Industrial y Comercial;461.95;443.49;425.04;201412
ESPD*;423.46;406.54;389.62;201412
Oficial y Exentos de Contribucion;384.96;369.58;354.2;201412
Industrial y Comercial - Punta;465.10;446.64;428.18;201412
Industrial y Comercial - Fuera de Punta;461.05;442.59;424.13;201412
Oficial y Exentos - Punta;387.58;372.20;356.82;201412
Oficial y Exentos - Fuera de Punta;384.21;368.82;353.44;201412
Estrato 1 - Rango 0 - CS;167.31;160.67;154.65;201501
Estrato 1 - Rango > CS;395.17;379.59;364.01;201501
Estrato 2 - Rango 0 - CS;209.13;200.84;193.31;201501
Estrato 2 - Rango > CS;395.17;379.59;364.01;201501
Estrato 3 - Rango 0 - CS;335.89;322.65;309.41;201501
Estrato 3 - Rango > CS;395.17;379.59;364.01;201501
Estrato 4 - Todo el consumo;395.17;379.59;364.01;201501
Estrato 5 y 6 - Todo el consumo;474.2;455.51;436.82;201501
Industrial y Comercial;474.2;455.51;436.82;201501
ESPD*;434.68;417.55;400.41;201501
Oficial y Exentos de Contribucion;395.17;379.59;364.01;201501
Industrial y Comercial - Punta;476.44;457.75;439.06;201501
Industrial y Comercial - Fuera de Punta;473.52;454.83;436.14;201501
Oficial y Exentos - Punta;397.03;381.46;365.88;201501
Oficial y Exentos - Fuera de Punta;394.60;379.03;363.45;201501
Estrato 1 - Rango 0 - CS;168.38;161.71;155.64;201502
Estrato 1 - Rango > CS;399.24;383.56;367.87;201502
Estrato 2 - Rango 0 - CS;210.48;202.14;194.55;201502
Estrato 2 - Rango > CS;399.24;383.56;367.87;201502
Estrato 3 - Rango 0 - CS;339.36;326.02;312.69;201502
Estrato 3 - Rango > CS;399.24;383.56;367.87;201502
Estrato 4 - Todo el consumo;399.24;383.56;367.87;201502
Estrato 5 y 6 - Todo el consumo;479.09;460.27;441.45;201502
Industrial y Comercial;479.09;460.27;441.45;201502
ESPD*;439.17;421.91;404.66;201502
Oficial y Exentos de Contribucion;399.24;383.56;367.87;201502
Industrial y Comercial - Punta;482.18;463.36;444.54;201502
Industrial y Comercial - Fuera de Punta;478.10;459.28;440.46;201502
Oficial y Exentos - Punta;401.82;386.13;370.45;201502
